,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
1463,25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459,Moderate
2594,34.0,60.0,28.4,38.5,26.8,14.4,2.1,3.7,391,Poor
989,32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,Moderate
3419,28.7,67.6,34.5,44.7,17.3,17.4,1.36,10.1,499,Moderate
2210,30.1,80.9,4.6,15.3,29.6,9.6,1.71,5.2,332,Moderate
4119,22.4,52.4,2.8,11.1,19.1,6.3,0.83,10.3,339,Good
2259,33.6,74.3,16.1,36.2,40.1,18.0,2.24,3.4,655,Poor
4911,33.2,109.8,94.1,111.7,46.6,7.4,3.24,3.9,853,Hazardous
3125,25.8,78.8,11.4,19.7,23.1,7.5,0.92,10.6,547,Good
985,22.0,56.3,5.7,12.5,16.8,6.1,1.01,12.2,230,Good
2391,56.5,113.5,74.6,93.9,36.9,22.2,2.2,3.6,690,Hazardous
3597,40.0,84.5,41.1,57.1,41.8,16.9,1.83,5.4,578,Poor
542,24.7,79.4,36.3,47.9,21.0,9.9,1.67,10.3,549,Moderate
4641,31.7,54.2,16.8,26.0,32.6,11.2,1.76,5.8,514,Moderate
1572,33.2,59.6,11.5,15.6,23.6,6.4,1.25,5.6,463,Moderate
843,38.0,98.9,82.4,94.3,37.9,13.1,2.42,6.0,791,Poor
3325,27.0,54.6,3.7,10.1,15.1,3.1,0.85,15.9,312,Good
225,29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,Moderate
4480,22.5,67.1,2.9,9.5,16.5,8.5,1.17,12.6,226,Good
2848,23.8,88.2,4.5,18.4,30.8,18.0,1.94,3.4,409,Poor
3948,27.2,46.7,3.4,5.6,17.2,4.1,1.0,13.1,468,Good
2843,29.4,53.6,5.6,15.9,28.9,8.5,1.61,8.9,384,Moderate
2782,42.9,80.5,3.8,7.1,24.0,9.4,1.3,6.6,553,Moderate
1298,25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388,Moderate
431,37.6,90.9,76.1,78.8,38.6,11.1,1.74,4.7,506,Poor
1867,29.2,63.7,0.2,11.0,24.3,18.3,1.3,11.8,574,Moderate
3805,34.0,82.3,99.5,128.1,37.4,13.6,1.94,9.0,444,Poor
4175,26.0,88.4,14.3,31.1,35.1,16.7,2.26,3.9,745,Poor
928,20.9,78.1,16.9,22.9,13.2,6.9,1.09,10.4,450,Good
3582,27.1,76.3,3.9,18.0,28.7,9.9,2.07,5.6,558,Moderate
2348,31.0,74.1,11.1,14.5,20.9,9.9,0.86,14.4,353,Good
4737,25.5,54.8,19.3,27.1,25.4,3.1,0.89,11.4,530,Good
2404,40.9,93.8,3.4,26.7,44.6,10.2,1.75,3.7,759,Poor
113,31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,Moderate
2092,48.4,109.0,103.3,114.9,48.6,25.6,2.23,5.9,863,Hazardous
4531,35.2,57.6,46.5,59.0,22.3,4.7,1.37,5.3,650,Moderate
1645,20.4,59.3,0.4,4.2,23.4,4.3,1.0,11.3,219,Good
1961,24.0,55.5,4.1,5.7,12.7,4.3,0.89,13.9,545,Good
683,28.9,69.2,9.7,20.5,29.3,6.5,1.29,5.0,552,Moderate
3694,25.8,76.1,51.9,64.4,24.9,16.5,1.93,5.4,708,Moderate
1096,34.4,75.8,7.2,22.6,35.5,12.0,1.42,9.5,582,Moderate
0,29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate
363,22.6,46.7,19.2,26.8,26.5,6.7,0.82,13.7,354,Good
3326,26.2,80.8,13.3,15.8,26.0,7.3,0.98,11.8,602,Good
3925,24.8,86.3,14.3,21.5,22.7,12.2,1.27,8.6,419,Moderate
2755,26.5,67.6,18.4,29.0,40.0,12.3,2.17,4.1,598,Poor
4723,21.6,50.7,1.5,4.0,11.7,2.3,0.94,12.0,452,Good
235,32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,Moderate
2804,17.2,75.7,22.8,29.4,23.7,2.3,1.11,10.7,389,Good
1574,27.6,62.5,8.7,16.0,18.4,3.7,1.02,10.4,235,Good
3831,33.1,91.3,8.0,24.3,32.0,23.6,2.28,4.2,587,Poor
1991,29.2,83.7,5.8,20.6,25.7,11.9,1.46,5.1,698,Moderate
3376,46.4,85.3,11.0,31.5,49.6,11.5,2.89,8.4,848,Hazardous
391,35.9,98.2,11.4,18.9,54.1,32.5,2.71,3.9,560,Hazardous
2897,27.9,82.5,8.3,24.2,29.0,9.4,1.78,5.6,349,Moderate
2612,29.4,87.6,1.9,27.1,35.4,20.4,2.02,4.6,769,Hazardous
2818,24.1,72.6,15.9,18.3,14.8,4.3,1.15,12.5,317,Good
