,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
587,34.1,76.7,3.5,10.5,21.9,3.9,1.23,10.4,299,Good
1826,21.4,52.4,0.5,7.4,21.1,5.9,0.94,11.4,200,Good
1225,31.2,51.4,28.1,41.1,15.6,12.1,1.44,5.7,386,Moderate
2068,38.2,95.1,15.8,31.3,26.2,11.0,2.43,5.5,616,Poor
3211,24.9,93.1,12.5,18.1,25.0,2.9,2.26,8.6,473,Poor
2301,39.8,63.6,5.0,19.4,25.1,7.4,2.27,4.5,681,Poor
2505,26.3,63.5,5.1,10.9,14.6,6.4,1.13,15.9,593,Good
2765,30.6,100.8,40.0,65.9,39.0,30.7,3.19,4.1,738,Hazardous
1174,34.1,74.6,27.0,47.6,22.4,27.2,2.57,3.5,732,Poor
1270,22.6,43.5,21.0,24.9,24.5,4.8,0.99,10.0,284,Good
58,24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,Moderate
170,21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,Good
1564,30.1,88.2,66.2,70.9,25.0,14.4,1.37,6.4,512,Moderate
4306,44.6,79.9,9.8,25.3,28.7,29.2,1.74,4.1,756,Poor
4767,21.4,77.6,7.7,11.2,25.2,5.0,0.94,12.6,547,Good
237,23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,Good
836,41.3,85.7,66.1,93.4,40.0,16.4,1.29,3.5,424,Poor
3685,41.2,82.7,17.3,25.0,43.5,24.5,2.33,2.6,494,Hazardous
1071,31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,Moderate
55,48.1,94.1,4.2,19.0,23.7,6.0,1.57,6.0,625,Poor
3572,23.2,74.3,4.1,7.7,19.0,2.1,1.1,10.1,274,Good
2825,38.3,58.4,86.6,92.8,31.4,10.0,1.66,5.6,527,Moderate
2450,31.5,73.6,55.0,68.7,22.3,12.5,1.35,6.2,417,Moderate
2141,20.6,80.8,14.4,21.1,22.5,5.0,0.96,12.0,584,Good
4509,37.7,93.3,115.9,145.3,33.2,16.2,2.0,8.2,374,Poor
1011,15.3,48.0,16.6,20.7,26.5,3.9,0.94,12.5,263,Good
1342,42.2,83.4,40.3,49.7,36.8,15.8,1.39,3.5,766,Poor
2157,27.2,62.6,8.5,13.2,27.2,6.6,0.95,10.2,505,Good
2769,36.5,86.5,31.4,43.0,44.1,10.9,2.64,3.6,455,Poor
2900,23.7,67.3,10.3,17.7,24.6,2.6,1.01,15.8,488,Good
2083,21.2,75.1,25.1,31.7,26.0,10.3,1.48,6.9,666,Moderate
4560,26.5,64.6,36.9,37.9,20.8,5.0,0.98,13.0,359,Good
1673,33.4,76.3,3.2,7.9,23.7,3.8,1.89,8.2,388,Moderate
456,26.5,59.9,92.7,98.0,25.4,-0.5,0.92,11.6,485,Good
3955,35.7,83.1,8.1,20.2,24.9,9.4,1.4,7.2,564,Moderate
4507,30.0,58.9,10.5,25.9,33.6,12.6,1.28,7.2,347,Moderate
3997,26.4,63.7,7.3,11.2,30.1,11.6,1.13,8.7,507,Moderate
578,28.5,63.1,7.0,11.9,31.0,11.7,1.28,7.6,663,Moderate
2369,25.4,50.5,19.2,26.3,13.7,7.8,0.99,12.0,317,Good
3540,27.6,62.4,13.9,26.1,18.3,18.6,1.54,5.5,475,Moderate
1332,21.8,43.3,1.3,5.1,19.8,8.0,0.84,10.6,451,Good
4108,34.8,66.4,10.7,17.1,20.8,4.1,1.08,12.9,353,Good
2154,41.0,67.4,11.3,26.7,28.3,21.9,2.04,5.5,493,Poor
789,27.9,87.6,22.8,38.3,27.4,4.9,1.42,6.3,443,Moderate
1286,22.5,40.7,26.5,31.8,26.4,7.0,1.18,10.9,452,Good
1999,39.3,73.0,15.0,35.5,34.2,8.1,2.05,3.7,655,Poor
2854,27.4,41.0,12.9,18.9,23.7,4.2,1.01,12.2,264,Good
1659,35.0,57.4,0.7,5.1,25.3,16.0,1.42,5.3,441,Moderate
106,49.6,87.5,81.9,87.0,40.4,18.4,2.14,2.9,631,Hazardous
1971,26.4,61.3,3.4,6.2,34.9,24.1,1.74,4.4,672,Poor
6,41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,Poor
2770,29.6,44.0,3.6,10.2,22.3,7.5,1.11,10.2,484,Good
3960,22.6,75.5,55.8,63.3,30.0,7.7,1.33,5.9,361,Moderate
40,37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,Hazardous
994,45.2,93.2,51.2,79.2,35.4,23.3,2.16,3.7,565,Hazardous
3810,40.6,51.7,18.8,31.5,30.4,9.5,2.15,3.4,738,Poor
2392,21.0,94.3,37.7,55.3,33.5,13.6,1.52,4.1,722,Poor
4673,27.3,75.6,2.1,7.7,24.4,14.2,2.12,6.7,665,Poor
3603,31.0,95.6,32.3,39.5,21.4,8.9,1.25,10.7,327,Moderate
4210,38.8,83.1,25.9,30.6,32.1,17.5,2.58,4.9,638,Poor
2832,21.0,48.0,10.5,14.3,22.3,6.9,1.08,13.5,555,Good
1538,20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412,Moderate
547,27.6,44.8,9.8,10.1,19.2,4.9,1.01,10.8,407,Good
2657,40.6,90.4,67.5,85.6,30.3,16.1,2.32,3.9,485,Hazardous
716,24.1,60.2,2.5,10.1,23.2,5.0,0.79,11.2,488,Good
3682,31.2,63.7,24.8,34.8,28.0,5.7,1.43,7.3,616,Moderate
4040,24.9,61.5,11.5,14.6,25.8,4.9,1.0,10.9,336,Good
3014,28.1,78.1,30.4,38.6,33.9,7.9,1.35,8.7,465,Moderate
2654,27.9,56.7,0.7,6.0,14.5,5.9,1.1,12.9,275,Good
3409,24.9,60.1,8.8,16.7,22.5,2.6,0.97,15.5,589,Good
3202,28.0,45.1,12.5,13.4,26.1,6.5,0.94,10.3,409,Good
3687,21.8,43.0,13.5,17.0,12.5,2.5,0.99,13.0,623,Good
283,35.9,87.0,26.4,34.1,29.2,17.2,1.33,6.5,619,Moderate
1787,29.6,53.0,14.8,20.6,22.5,5.5,0.99,11.1,509,Good
2951,23.8,67.9,15.3,19.2,25.0,5.1,0.97,10.0,366,Good
2007,32.6,61.4,37.3,53.1,27.8,11.8,1.65,5.1,529,Moderate
3321,23.0,70.8,1.2,5.8,22.1,6.7,0.88,12.7,266,Good
1014,37.6,99.5,142.3,157.1,36.3,20.8,1.82,2.8,528,Hazardous
2751,23.0,41.1,24.8,28.1,18.7,3.4,0.94,10.3,379,Good
2863,27.1,63.0,1.7,5.2,25.0,4.9,1.02,11.4,583,Good
2918,18.4,60.6,3.0,8.4,16.6,7.3,1.04,10.2,444,Good
