,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
656,23.4,86.5,6.0,21.3,21.1,20.9,2.44,6.3,505,Poor
280,24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,Good
69,32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate
4317,29.5,69.1,30.2,35.4,43.3,15.5,1.62,7.0,711,Poor
3259,28.6,72.9,13.8,19.3,19.7,2.9,0.98,10.4,575,Good
1006,30.4,44.2,7.8,11.4,22.0,5.9,0.92,11.3,446,Good
4152,31.0,55.7,3.8,5.4,17.5,2.9,1.16,11.8,332,Good
3725,28.9,62.4,4.8,10.7,17.7,4.3,0.86,12.1,296,Good
1251,38.6,111.4,9.9,20.0,36.3,22.5,1.74,7.5,591,Poor
3549,35.1,71.0,2.6,16.5,19.0,10.3,1.61,7.3,374,Moderate
3639,25.4,49.0,13.1,16.6,21.7,4.9,0.89,14.4,388,Good
462,33.2,76.0,78.8,87.1,27.7,13.1,1.36,9.0,679,Moderate
1886,27.4,58.0,2.9,7.0,25.8,2.3,1.0,10.4,562,Good
1806,38.5,65.0,82.1,96.8,35.9,25.9,1.85,4.0,611,Poor
4559,23.2,60.9,3.7,4.0,14.5,4.2,1.02,13.9,381,Good
1266,27.2,46.3,14.8,18.8,19.7,7.3,1.05,10.8,496,Good
3913,30.5,55.3,6.3,18.2,21.9,15.1,1.45,5.2,391,Moderate
4280,33.7,83.7,12.7,18.9,36.0,15.0,2.56,4.6,679,Poor
4110,47.4,82.8,14.5,33.5,32.3,18.9,1.84,5.1,600,Poor
2109,21.8,88.6,1.7,13.9,29.4,10.8,1.66,6.2,541,Moderate
3961,28.4,81.5,6.7,11.7,17.6,2.9,0.93,12.9,580,Good
3526,26.5,98.1,41.4,56.1,40.4,6.2,1.85,7.1,430,Poor
2861,25.4,74.3,6.0,7.1,19.9,4.2,1.09,10.8,483,Good
127,22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,Good
428,32.9,110.4,20.8,40.4,32.0,25.8,2.5,5.0,775,Hazardous
853,38.7,98.8,9.1,30.9,40.2,21.0,2.33,2.8,827,Hazardous
1711,22.5,54.1,18.2,23.6,20.1,3.3,1.13,12.5,567,Good
3976,26.0,79.4,4.8,18.1,19.5,10.1,1.86,6.7,525,Moderate
4374,23.7,57.8,31.7,35.0,11.7,2.3,1.07,13.2,453,Good
1037,26.0,64.3,22.6,38.3,33.3,14.4,1.48,7.0,359,Moderate
3668,29.2,70.3,3.5,8.1,16.7,3.7,1.05,10.8,585,Good
4680,30.3,80.4,24.4,31.4,18.3,4.4,1.48,9.2,405,Moderate
416,29.6,53.4,2.6,9.9,22.2,4.6,1.09,13.7,297,Good
2740,24.8,47.8,37.0,40.9,19.6,6.1,0.93,14.2,557,Good
3199,32.3,69.0,1.1,13.5,23.9,9.9,1.39,5.8,461,Moderate
2929,38.2,82.1,8.4,26.5,24.6,7.4,2.6,5.2,696,Poor
3657,31.8,83.5,29.7,38.8,25.9,9.4,1.36,5.7,588,Moderate
435,23.9,56.6,43.9,53.1,16.5,7.1,1.13,10.8,520,Good
438,26.8,60.5,1.3,9.1,16.4,4.6,0.94,11.5,359,Good
4271,23.0,52.4,2.8,7.1,26.6,3.2,1.08,10.2,324,Good
2695,49.0,93.1,12.4,39.7,37.1,24.6,2.66,3.5,820,Hazardous
3265,24.3,67.0,1.0,4.1,22.2,3.3,0.86,10.9,530,Good
322,33.2,60.0,54.5,65.5,20.2,7.9,1.42,9.0,418,Moderate
705,26.5,54.1,12.3,15.3,20.3,5.3,0.99,12.7,374,Good
954,28.3,75.6,0.1,8.7,10.4,4.0,1.04,12.5,518,Good
4849,31.9,53.6,13.3,23.8,20.8,7.0,1.67,11.3,366,Moderate
1022,22.7,79.5,1.0,8.1,12.2,6.5,1.03,12.4,439,Good
2855,28.8,59.9,17.0,23.5,34.5,23.5,1.63,8.7,446,Poor
2899,27.3,72.6,2.7,8.0,13.3,5.3,1.19,10.0,327,Good
1983,30.1,54.7,5.2,7.2,30.1,18.6,1.65,5.8,520,Moderate
2193,32.0,63.1,21.3,36.9,33.6,24.0,2.03,4.0,746,Poor
4625,29.4,62.3,7.4,14.9,25.6,8.2,1.53,11.1,337,Moderate
2581,31.4,69.8,20.4,32.0,16.3,9.7,1.49,8.0,643,Moderate
3369,41.9,98.7,99.2,115.1,54.9,20.5,2.62,3.0,708,Hazardous
3585,36.4,64.6,78.0,82.6,27.2,5.8,1.5,9.0,412,Moderate
1926,30.6,107.4,35.4,53.4,31.2,23.4,1.73,5.6,631,Poor
449,30.7,76.4,13.8,18.9,23.5,2.8,0.9,12.9,302,Good
3220,23.6,53.4,13.5,20.5,15.8,2.5,0.98,11.3,235,Good
4633,34.5,82.1,25.3,40.9,41.4,17.2,2.73,5.0,808,Hazardous
2567,34.4,71.7,44.0,54.6,30.6,25.9,2.41,3.4,595,Poor
2191,25.8,56.3,5.0,9.5,20.9,2.5,0.98,14.1,410,Good
3785,21.5,57.5,0.2,4.3,15.0,6.7,1.02,18.8,373,Good
4743,22.2,53.1,13.8,15.0,21.5,4.1,1.06,14.5,276,Good
2308,34.9,68.1,14.5,27.0,31.2,19.5,2.11,4.4,726,Poor
3988,34.1,76.6,6.5,21.3,30.6,12.5,2.12,7.3,421,Poor
1138,26.8,58.5,39.0,46.5,27.4,8.6,1.59,5.5,466,Moderate
4630,34.8,78.3,43.0,56.3,41.7,8.0,1.32,5.7,738,Poor
2134,22.2,65.9,7.9,13.5,14.3,5.0,0.89,11.0,390,Good
4778,22.6,55.6,7.4,8.0,22.4,4.0,1.1,10.8,330,Good
1234,24.6,42.1,0.9,10.3,23.4,9.1,0.83,11.5,545,Good
902,25.3,54.9,0.8,6.8,27.7,4.6,0.99,12.0,279,Good
3423,29.2,72.2,6.9,13.4,20.9,7.7,0.97,13.4,362,Good
2736,40.8,91.2,84.9,91.3,46.5,27.7,2.37,8.5,861,Hazardous
198,36.2,84.9,42.2,72.0,30.9,23.4,1.98,3.5,619,Hazardous
2466,24.1,45.5,31.0,35.5,18.3,4.0,0.91,10.4,396,Good
2798,29.7,53.0,18.0,30.5,27.8,8.6,1.36,5.1,488,Moderate
2315,32.6,92.5,5.4,10.9,26.2,12.9,1.32,5.6,377,Moderate
2767,31.5,76.0,3.3,10.1,32.2,9.5,1.44,9.3,389,Moderate
1481,18.9,63.2,6.2,8.0,13.9,5.0,1.09,10.3,410,Good
1653,21.9,71.2,5.1,10.4,17.1,3.8,0.95,10.4,208,Good
143,31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,Moderate
696,27.9,89.6,11.5,8.6,21.7,15.8,1.27,5.2,618,Moderate
1407,34.1,62.3,130.0,137.4,33.6,7.1,2.04,4.1,442,Poor
519,35.7,94.8,13.5,38.4,33.2,11.0,1.65,3.9,749,Poor
640,33.4,69.8,5.8,14.5,38.2,8.4,1.66,12.0,444,Poor
4832,23.8,73.6,36.9,42.2,28.3,5.7,1.07,15.3,555,Good
3985,19.7,75.2,1.2,5.2,12.8,5.4,0.93,10.7,527,Good
796,32.7,56.0,57.9,68.6,22.9,15.7,1.32,6.7,542,Moderate
167,15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549,Good
1858,24.7,57.4,2.9,7.9,22.9,2.3,0.92,10.1,361,Good
2949,21.0,44.0,2.6,8.8,25.2,5.7,0.95,17.2,488,Good
3472,27.7,45.9,7.1,8.4,21.0,6.8,1.14,10.4,245,Good
821,38.5,81.3,43.9,52.4,39.8,8.6,1.55,3.5,670,Poor
3292,31.0,89.4,10.8,17.3,31.3,3.3,2.01,5.9,435,Moderate
909,30.3,89.0,6.3,9.3,23.5,14.3,1.88,7.8,365,Moderate
2120,32.6,54.3,5.7,19.6,25.9,11.8,1.35,7.0,649,Moderate
2957,38.7,116.9,33.1,53.6,46.0,26.2,2.46,8.2,834,Hazardous
1548,37.9,67.4,57.9,71.0,21.3,12.3,1.89,4.1,824,Poor
2079,21.5,47.3,10.6,18.8,15.6,6.2,1.0,11.4,271,Good
1483,34.3,102.4,38.8,58.4,40.4,12.8,2.09,2.7,811,Hazardous
763,42.3,70.3,22.5,33.9,32.1,22.0,2.82,9.5,672,Hazardous
830,23.2,60.0,4.7,7.3,26.3,7.5,0.98,11.5,535,Good
2601,20.8,62.7,19.4,25.8,19.5,5.8,1.11,10.4,458,Good
4183,31.6,74.8,28.5,45.8,25.4,16.3,2.29,4.7,782,Poor
670,26.2,36.9,4.4,10.8,26.0,3.2,1.0,21.8,221,Good
2496,25.7,50.4,2.5,14.9,33.6,10.5,1.44,7.7,600,Moderate
1838,38.3,107.8,39.3,60.8,32.3,29.0,2.61,6.8,462,Hazardous
4010,29.5,58.6,6.1,17.5,32.6,17.0,1.19,5.0,311,Moderate
1913,28.1,42.5,0.3,5.1,16.1,5.7,0.99,11.6,326,Good
3747,30.3,92.2,9.2,14.4,37.5,16.1,2.22,5.2,652,Poor
4146,20.0,65.8,5.6,12.5,11.6,5.5,1.1,13.4,373,Good
1788,28.2,80.5,19.1,31.5,25.0,11.1,1.11,5.2,373,Moderate
14,22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,Good
3157,26.5,82.2,23.9,34.0,19.7,5.7,1.31,5.2,438,Moderate
3397,46.8,117.3,21.6,29.6,25.3,26.7,2.31,6.4,712,Hazardous
4921,27.2,59.2,4.5,8.1,13.9,6.9,1.0,15.6,543,Good
2222,31.0,50.1,6.8,20.9,17.7,12.8,1.7,5.1,328,Moderate
1426,41.2,85.9,3.4,21.2,39.6,8.4,2.27,3.5,689,Poor
809,34.2,72.1,5.8,15.9,25.5,16.0,2.72,5.3,560,Poor
2932,27.4,67.4,10.8,32.6,51.6,25.2,2.88,2.6,846,Hazardous
1338,24.4,59.3,8.9,15.7,26.4,6.6,0.94,10.4,576,Good
1419,44.2,101.0,2.6,10.2,30.3,24.3,1.91,3.5,408,Poor
688,41.2,80.2,10.8,34.5,25.7,11.4,2.08,3.7,714,Poor
3628,23.6,43.3,5.4,10.2,16.4,6.8,1.04,15.8,368,Good
3389,36.1,84.1,25.6,42.0,35.7,14.7,2.39,5.3,444,Poor
3839,31.1,78.4,51.7,67.9,35.6,17.5,2.24,5.6,488,Poor
3398,27.5,61.0,41.9,58.8,26.0,12.0,1.6,5.6,488,Moderate
4098,36.3,83.6,43.6,55.0,27.9,10.0,1.17,7.2,512,Moderate
515,24.9,83.1,24.5,34.6,18.7,9.8,1.58,7.5,529,Moderate
4588,46.7,84.2,1.6,26.6,36.5,13.4,3.04,8.0,506,Hazardous
1155,41.0,60.7,26.9,56.7,38.4,13.0,2.25,3.5,673,Poor
