Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
46.8,117.3,21.6,29.6,25.3,26.7,2.31,6.4,712,Hazardous
27.8,82.1,12.3,27.8,28.0,18.6,1.69,13.4,676,Moderate
31.9,69.0,85.7,103.6,25.8,12.5,1.65,5.2,621,Moderate
22.9,78.5,6.7,9.7,15.9,2.2,0.99,10.0,249,Good
35.0,76.4,20.3,28.2,19.9,11.2,1.68,6.6,430,Moderate
34.5,107.1,5.8,21.3,22.7,39.6,2.17,3.9,676,Hazardous
27.6,69.4,2.9,9.9,12.4,2.0,0.97,13.2,375,Good
39.0,96.8,50.1,61.3,48.3,29.6,2.64,3.4,755,Hazardous
34.1,72.9,2.2,15.6,33.6,4.9,1.43,5.6,526,Moderate
25.3,73.3,21.1,21.0,15.4,8.5,1.14,10.4,498,Good
32.3,65.7,8.7,19.1,28.3,11.6,1.36,6.4,322,Moderate
31.7,52.1,24.3,30.1,15.3,6.0,0.91,13.8,418,Good
24.9,66.0,5.4,7.5,25.0,0.7,1.09,10.9,263,Good
21.3,47.7,8.0,12.3,21.2,7.0,0.99,10.7,478,Good
34.5,72.1,25.0,38.3,22.8,18.3,1.43,6.3,577,Moderate
30.7,53.5,4.9,11.5,22.9,8.8,0.98,13.7,429,Good
45.4,82.6,12.9,29.4,41.6,14.1,2.29,5.1,841,Poor
32.4,66.1,9.1,16.0,13.9,4.6,1.02,11.4,283,Good
29.6,83.0,4.0,14.1,22.2,3.2,1.05,11.9,225,Good
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,Good
39.2,57.5,122.3,134.5,41.2,10.1,2.4,3.9,730,Poor
24.6,60.5,7.7,17.2,27.0,15.1,1.62,11.0,599,Moderate
29.4,94.1,0.9,7.1,24.5,12.2,1.24,6.4,648,Moderate
34.1,74.6,27.0,47.6,22.4,27.2,2.57,3.5,732,Poor
28.4,38.8,1.8,8.4,10.5,5.6,0.99,12.5,560,Good
24.7,51.4,3.5,9.4,14.6,4.3,0.85,11.6,215,Good
42.2,123.0,42.1,79.4,42.9,27.3,1.82,3.1,867,Hazardous
36.3,69.3,7.1,15.6,22.7,1.6,1.44,6.4,542,Moderate
24.9,70.5,0.2,5.9,12.5,6.9,1.07,11.9,240,Good
21.4,65.3,9.9,12.7,25.5,2.5,1.01,11.7,295,Good
40.0,63.2,14.9,24.0,27.4,7.0,1.51,6.4,569,Moderate
21.8,57.2,12.7,17.4,25.6,3.7,1.25,16.9,450,Good
23.6,50.5,19.6,25.4,21.6,5.0,0.96,10.5,294,Good
33.2,49.8,1.4,23.3,23.0,25.8,2.06,6.8,730,Poor
39.4,55.7,1.0,11.4,33.1,10.3,1.27,6.2,416,Moderate
36.8,105.9,106.8,117.2,44.6,16.0,2.34,7.6,716,Hazardous
24.6,96.2,114.7,142.1,32.2,17.1,1.95,3.7,677,Poor
35.6,95.8,41.4,62.5,27.7,14.8,2.2,5.8,423,Poor
29.6,46.6,5.1,16.2,27.0,7.0,1.93,7.6,364,Moderate
26.5,76.9,2.5,7.6,19.6,4.5,1.0,11.3,500,Good
39.0,80.7,1.3,21.3,24.2,10.8,1.65,3.8,448,Poor
30.3,51.2,7.3,18.8,26.3,14.1,1.39,5.2,624,Moderate
25.6,87.4,23.6,32.3,29.2,3.1,1.59,6.2,582,Moderate
25.1,53.9,3.0,10.4,15.6,5.9,0.89,11.0,201,Good
25.6,66.5,8.5,14.5,12.9,3.7,0.94,13.2,354,Good
34.8,71.8,43.9,67.2,42.7,25.6,2.39,14.3,501,Poor
25.6,65.8,0.3,5.2,18.7,7.0,0.86,11.0,303,Good
30.5,70.7,23.4,30.5,32.8,10.8,1.49,7.5,466,Moderate
28.1,91.6,6.4,13.5,37.9,10.0,1.26,7.2,331,Moderate
31.6,60.9,18.0,35.8,17.9,11.0,1.34,7.9,458,Moderate
22.9,79.0,21.3,29.3,20.7,6.0,0.98,10.2,588,Good
32.3,53.7,39.7,43.7,27.2,12.5,1.59,5.0,363,Moderate
32.8,74.0,10.1,15.5,26.7,5.7,0.85,11.2,199,Good
25.2,60.1,1.1,2.4,14.7,6.1,1.04,12.2,384,Good
28.7,59.4,4.0,8.5,18.9,5.6,0.84,10.1,364,Good
28.9,65.5,1.2,4.7,24.0,3.7,1.02,10.6,534,Good
32.5,69.3,28.0,47.9,28.8,9.8,1.53,5.2,409,Moderate
22.5,55.4,4.7,5.6,20.4,4.6,0.93,14.8,371,Good
21.8,47.6,24.3,32.4,21.5,7.5,0.96,10.8,428,Good
35.3,106.9,35.7,60.3,41.7,16.1,2.54,5.6,857,Hazardous
34.0,58.3,36.6,52.4,28.4,5.3,1.49,6.9,499,Moderate
37.9,71.0,5.6,21.0,49.8,34.5,3.0,5.0,537,Hazardous
32.7,64.6,12.6,18.9,30.5,9.5,1.65,7.2,505,Moderate
30.4,58.9,0.2,4.5,19.6,5.5,1.06,10.7,355,Good
31.8,68.4,6.7,12.6,23.8,8.3,0.86,10.3,326,Good
26.5,78.8,0.1,14.2,38.2,3.5,1.14,7.9,589,Moderate
28.9,58.3,2.7,11.8,22.8,5.2,1.39,8.9,449,Moderate
25.1,63.9,5.0,8.8,17.3,6.3,1.12,11.0,367,Good
29.3,74.3,8.5,19.9,26.7,11.1,1.67,7.4,599,Moderate
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,Good
25.0,56.6,3.9,10.9,16.5,4.0,1.06,11.1,583,Good
23.5,41.3,5.4,8.4,24.9,7.9,1.12,10.7,360,Good
34.4,77.4,43.8,68.2,45.2,9.8,3.31,2.8,737,Hazardous
38.2,115.9,295.0,315.8,50.1,5.5,3.01,4.6,755,Hazardous
28.0,72.0,3.2,11.7,28.9,16.6,1.4,5.2,420,Moderate
36.3,59.6,30.8,35.6,41.4,10.7,1.95,3.7,617,Poor
28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,Moderate
35.8,71.8,42.3,53.4,29.8,13.3,2.32,4.0,485,Poor
31.0,78.0,1.5,5.7,20.0,4.7,1.02,11.0,279,Good
33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351,Moderate
29.0,85.7,28.2,39.8,25.4,4.5,1.62,5.1,699,Moderate
38.5,81.3,43.9,52.4,39.8,8.6,1.55,3.5,670,Poor
35.1,60.9,5.0,12.2,19.3,20.0,1.5,5.9,576,Moderate
32.0,101.4,60.3,78.5,45.4,25.0,3.01,4.3,698,Hazardous
40.8,80.0,27.9,44.3,52.3,19.3,2.06,3.8,530,Hazardous
33.9,94.5,16.6,42.2,41.7,18.5,2.4,8.1,421,Poor
25.8,68.3,12.6,19.0,13.0,6.6,1.09,11.2,310,Good
42.9,80.5,3.8,7.1,24.0,9.4,1.3,6.6,553,Moderate
