,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
3397,27.7,69.4,0.8,8.4,14.3,4.1,0.86,13.4,425,Good
3114,24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,Good
324,16.7,52.9,0.0,7.3,19.9,6.9,0.95,11.0,229,Good
4010,44.9,105.8,24.5,47.4,39.9,26.7,2.36,4.0,878,Hazardous
3071,31.5,73.6,55.0,68.7,22.3,12.5,1.35,6.2,417,Moderate
1931,20.7,71.2,0.5,9.4,11.4,4.4,1.09,10.9,207,Good
2328,25.1,66.6,38.5,43.4,18.5,4.3,0.92,12.0,326,Good
703,37.8,77.0,7.7,30.7,56.4,16.6,3.09,2.6,674,Hazardous
4538,34.1,65.4,49.1,56.2,23.1,10.2,1.49,7.9,385,Moderate
3591,25.6,79.9,2.3,5.6,22.3,7.1,0.87,10.5,516,Good
356,15.5,64.8,19.6,23.4,25.5,4.6,0.91,11.1,230,Good
4148,23.4,53.5,4.9,10.5,17.5,6.3,0.91,15.5,501,Good
3042,26.2,79.1,28.3,31.9,21.7,7.6,0.93,11.1,230,Good
2858,29.2,58.3,18.1,21.8,16.9,5.3,0.98,16.0,219,Good
559,28.7,60.8,20.4,34.7,31.8,9.5,1.4,7.6,667,Moderate
1148,25.4,76.7,10.3,19.4,22.7,10.5,1.19,7.8,609,Moderate
3364,32.8,63.6,33.1,54.9,33.0,19.6,1.48,4.7,655,Poor
4499,27.9,60.9,1.9,6.7,14.5,5.6,1.0,11.0,383,Good
4626,40.1,70.6,9.2,17.9,29.2,18.0,2.16,4.6,569,Poor
2596,25.5,47.4,9.5,8.9,25.2,5.9,1.24,10.6,404,Good
132,29.2,77.9,12.9,21.4,24.7,12.6,1.39,6.4,640,Moderate
251,34.6,67.9,29.7,53.8,28.9,18.9,2.55,2.7,746,Hazardous
1951,24.7,83.6,64.0,84.5,47.3,12.1,1.69,4.2,630,Poor
115,23.6,73.0,10.5,13.8,17.1,6.3,1.03,10.4,571,Good
193,23.6,51.9,11.0,13.6,27.9,4.3,1.2,12.1,474,Good
525,31.1,52.6,23.6,27.8,26.9,4.3,1.56,6.6,416,Moderate
4620,23.0,51.2,17.3,22.3,13.6,2.5,0.84,13.2,444,Good
159,32.3,65.7,8.7,19.1,28.3,11.6,1.36,6.4,322,Moderate
2815,27.5,83.2,6.7,16.6,24.2,10.1,1.63,9.3,566,Moderate
1833,36.6,68.4,28.3,42.4,44.2,6.6,2.11,3.8,726,Poor
4932,28.6,73.0,1.2,2.9,15.3,5.3,0.9,12.7,522,Good
3063,29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250,Good
794,36.5,62.0,42.7,54.8,25.3,21.7,2.48,3.5,623,Poor
1241,50.7,104.9,2.4,9.5,41.7,21.5,2.34,4.3,861,Hazardous
4658,34.9,85.0,0.9,7.9,24.2,17.6,1.38,5.4,438,Moderate
2389,27.2,71.9,13.7,22.7,27.1,5.5,1.1,11.2,513,Good
763,26.1,46.8,7.8,14.1,24.9,4.6,1.03,13.5,603,Good
4914,27.1,70.2,2.0,6.2,23.0,3.5,1.0,10.1,271,Good
239,30.5,55.3,6.3,18.2,21.9,15.1,1.45,5.2,391,Moderate
647,43.0,96.5,14.6,38.1,39.7,17.3,2.17,5.4,591,Hazardous
4279,32.5,55.7,5.6,10.7,26.0,12.7,1.54,5.7,298,Moderate
