,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
4526,29.3,68.3,3.0,8.1,10.8,5.2,1.09,10.5,336,Good
1390,29.7,78.5,9.5,16.4,14.5,5.3,0.86,13.6,275,Good
2492,33.7,54.1,5.2,15.5,34.5,6.8,1.5,5.4,367,Moderate
117,24.2,56.3,9.6,16.3,15.3,5.0,1.04,12.9,387,Good
1272,27.0,50.8,2.1,5.5,12.4,1.1,1.01,10.2,612,Good
4273,22.5,73.5,11.8,16.2,18.7,3.8,1.12,15.4,444,Good
4943,18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,Good
1891,26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577,Good
2284,43.0,83.1,58.2,80.2,34.7,9.1,1.88,6.0,375,Poor
1368,26.3,86.9,4.5,22.1,37.1,11.0,2.22,5.1,556,Poor
3539,33.4,44.1,13.2,16.1,16.5,11.6,1.28,6.0,643,Moderate
4162,29.0,56.0,5.5,10.1,14.5,3.7,0.86,13.4,233,Good
1007,22.9,61.9,41.1,54.6,27.5,3.4,1.79,5.6,464,Moderate
3531,26.8,63.4,13.8,21.4,18.8,2.8,1.0,10.3,303,Good
2289,22.1,49.1,11.2,13.8,25.3,6.8,0.72,12.5,448,Good
4540,23.7,40.0,20.7,23.0,20.4,6.2,1.05,12.5,318,Good
3310,32.6,83.8,5.5,13.0,30.8,12.2,1.73,7.2,363,Moderate
3343,32.2,83.4,5.8,15.3,38.3,12.6,1.72,7.4,449,Moderate
2747,24.6,89.2,4.1,16.2,32.0,2.6,1.83,3.9,480,Poor
3197,40.6,76.8,39.2,60.7,33.0,18.6,1.85,3.4,686,Poor
1261,32.9,56.9,44.2,55.4,19.5,8.5,1.33,9.3,612,Moderate
1669,22.3,49.8,14.4,18.5,16.5,4.3,1.1,15.4,500,Good
4406,29.5,53.5,12.2,22.2,26.8,10.0,1.49,8.0,438,Moderate
4378,44.9,84.2,2.9,16.2,33.4,17.0,1.93,4.4,701,Hazardous
