,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
1891,26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577,Good
3897,25.9,78.2,14.2,22.1,34.8,7.8,1.63,9.6,379,Moderate
2099,26.3,69.2,84.0,93.8,21.7,4.8,1.46,6.5,404,Moderate
2071,34.4,85.0,31.7,53.6,50.5,35.4,2.5,3.8,822,Hazardous
1171,28.1,78.1,30.4,38.6,33.9,7.9,1.35,8.7,465,Moderate
3092,17.0,47.4,10.1,16.5,24.7,2.7,1.02,11.0,555,Good
3011,32.3,65.9,28.5,38.8,26.4,4.1,1.63,7.5,662,Moderate
1206,32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,509,Moderate
3116,25.6,74.7,3.7,8.6,20.2,1.0,0.84,14.9,287,Good
2244,35.5,73.2,45.6,49.2,31.7,11.6,1.44,5.6,444,Moderate
3142,21.7,65.6,2.3,7.4,10.1,5.4,0.91,14.6,302,Good
1100,25.9,76.9,27.2,33.0,22.2,4.9,0.9,11.6,336,Good
3008,33.0,56.9,17.9,20.6,33.1,7.0,1.84,5.6,606,Moderate
1341,32.7,74.9,21.4,22.4,18.0,12.0,1.57,5.7,586,Moderate
4611,21.9,80.0,1.1,6.0,21.8,11.4,1.77,6.5,642,Moderate
3758,27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386,Moderate
1392,34.0,82.3,99.5,128.1,37.4,13.6,1.94,9.0,444,Poor
3125,27.0,84.3,18.2,25.4,15.5,10.9,1.08,5.5,431,Moderate
1739,26.3,73.3,17.7,23.6,35.2,14.1,1.77,6.3,482,Moderate
4430,29.1,52.6,14.0,18.7,17.6,7.7,1.04,10.4,456,Good
2455,29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439,Good
3302,25.9,71.0,22.1,21.8,14.4,2.3,0.93,12.5,314,Good
654,28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,Good
3161,25.5,68.9,2.9,16.0,38.3,2.3,1.61,10.9,357,Moderate
2950,28.7,59.3,6.3,16.3,22.3,5.7,1.03,10.8,213,Good
2860,34.9,78.5,2.8,19.1,29.1,17.8,1.47,6.0,534,Moderate
902,18.5,71.0,13.2,20.4,19.4,5.2,0.89,12.0,550,Good
2059,31.2,62.3,0.9,8.7,20.4,15.0,1.49,8.6,599,Moderate
910,41.9,75.9,12.6,26.2,41.2,34.1,3.04,7.0,543,Hazardous
2568,27.9,89.6,11.5,8.6,21.7,15.8,1.27,5.2,618,Moderate
3104,35.5,86.0,75.7,86.8,19.8,12.1,1.79,8.6,612,Moderate
3543,37.0,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,Poor
4553,30.0,76.4,16.2,18.9,15.9,6.3,1.05,12.3,315,Good
1108,39.3,73.0,15.0,35.5,34.2,8.1,2.05,3.7,655,Poor
2545,24.7,59.9,2.4,8.0,23.1,6.9,1.06,11.4,356,Good
2596,25.5,47.4,9.5,8.9,25.2,5.9,1.24,10.6,404,Good
3748,29.1,79.2,3.8,12.6,29.2,0.0,1.7,6.0,436,Moderate
3815,27.0,46.5,8.3,14.0,20.7,5.5,1.02,15.4,496,Good
691,29.6,53.8,10.8,18.5,25.5,4.8,1.53,5.8,436,Moderate
3158,30.3,86.8,16.4,30.2,38.2,22.4,2.39,5.7,479,Poor
1510,25.9,71.3,2.5,4.7,13.3,3.9,1.09,15.4,229,Good
1267,36.7,44.6,2.4,5.8,28.8,18.1,1.63,8.7,502,Poor
2564,23.8,48.8,19.9,25.8,26.2,5.6,0.83,10.4,403,Good
3577,25.0,45.7,0.1,3.6,14.3,7.9,1.03,10.7,316,Good
655,30.7,80.4,5.4,12.4,24.5,12.9,1.22,5.3,639,Moderate
4221,43.2,98.2,6.1,32.9,42.3,19.8,2.26,4.1,797,Hazardous
1404,26.7,42.5,20.0,24.9,22.1,8.4,0.95,15.0,309,Good
4869,20.0,74.9,8.2,15.3,21.1,6.2,1.04,11.7,242,Good
1421,25.0,69.5,4.2,9.0,28.8,5.6,1.19,10.1,232,Good
4094,38.5,87.4,15.6,22.3,37.3,13.7,1.62,7.5,412,Poor
4031,35.3,75.4,8.0,27.1,37.3,9.0,1.82,21.6,696,Poor
4292,28.8,64.9,16.7,27.9,11.7,5.6,0.85,10.9,562,Good
3021,29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744,Poor
3099,24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300,Good
210,21.0,54.3,7.5,11.7,19.5,4.4,1.05,10.1,569,Good
3500,39.3,63.5,135.7,148.8,28.1,16.1,2.05,3.9,714,Poor
2576,32.0,84.4,30.3,39.1,40.4,21.2,1.99,6.2,454,Poor
211,37.8,103.0,58.1,75.1,31.9,16.6,2.0,4.5,626,Poor
3926,44.0,84.1,39.5,73.0,38.9,12.9,2.48,4.0,530,Hazardous
2019,33.9,78.3,16.5,31.2,30.4,19.8,1.73,4.0,411,Poor
4848,27.7,56.4,31.4,36.7,13.6,5.6,1.02,12.6,335,Good
1851,26.6,58.5,30.6,34.3,25.2,3.7,1.04,12.1,341,Good
438,29.5,60.6,1.0,18.5,26.1,7.5,1.55,8.9,438,Moderate
2032,37.3,70.1,4.6,17.8,34.8,12.0,1.73,3.6,609,Poor
219,33.3,73.1,21.6,33.1,44.5,7.4,1.98,8.8,723,Poor
1794,20.0,55.0,9.7,17.2,14.7,7.1,1.0,12.8,283,Good
1536,30.9,82.0,58.6,79.4,36.7,12.1,2.38,5.7,793,Poor
3015,23.4,71.4,15.8,18.2,18.0,2.5,1.15,12.5,496,Good
1288,28.6,52.4,15.4,18.0,19.9,5.8,0.95,12.6,506,Good
3061,26.5,78.8,0.1,14.2,38.2,3.5,1.14,7.9,589,Moderate
4075,41.8,75.4,23.7,34.7,37.7,6.8,1.42,5.9,527,Poor
2616,23.7,67.3,10.3,17.7,24.6,2.6,1.01,15.8,488,Good
3133,28.3,39.7,52.1,56.7,28.9,0.6,0.99,15.1,384,Good
901,35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,Poor
4505,24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,Good
1395,30.8,81.7,23.3,36.4,26.5,21.6,1.49,5.8,546,Moderate
3267,24.7,57.4,2.9,7.9,22.9,2.3,0.92,10.1,361,Good
2915,40.5,87.4,11.0,17.9,19.4,15.2,1.44,9.4,476,Moderate
458,20.5,56.2,3.8,10.4,12.3,3.1,0.98,14.5,459,Good
1155,43.7,80.1,45.4,49.7,27.4,17.9,2.1,8.7,561,Poor
880,25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231,Good
100,32.4,61.8,23.0,43.4,19.5,17.0,2.05,3.8,463,Poor
2922,40.3,66.1,11.8,21.0,43.4,15.8,2.02,6.2,824,Poor
4348,36.4,99.6,56.6,65.3,30.6,21.2,2.9,4.4,699,Hazardous
99,23.0,52.4,2.8,7.1,26.6,3.2,1.08,10.2,324,Good
4409,28.5,81.6,25.1,33.5,18.5,4.2,1.02,15.3,448,Good
4927,21.3,53.4,16.1,22.3,19.3,3.7,0.98,11.8,314,Good
2775,26.1,63.1,15.8,19.1,22.7,4.6,0.89,10.5,249,Good
4246,33.7,83.3,10.2,32.2,33.6,27.7,2.53,11.9,541,Poor
1343,32.5,72.1,26.5,42.4,35.3,2.0,1.94,5.6,510,Poor
36,38.6,76.2,26.0,48.7,32.8,3.5,2.12,3.7,612,Poor
4056,35.9,87.0,26.4,34.1,29.2,17.2,1.33,6.5,619,Moderate
4262,22.7,47.2,7.8,10.1,16.5,4.3,0.99,11.8,537,Good
4398,25.0,75.7,4.7,9.3,21.2,5.2,1.15,16.0,541,Good
4143,41.9,96.6,47.7,73.1,54.2,7.8,2.9,2.6,682,Hazardous
2467,28.9,48.1,2.2,5.6,23.1,5.9,1.09,10.6,465,Good
2606,30.4,91.7,8.3,19.2,36.2,18.8,2.25,3.4,417,Poor
733,28.5,49.4,1.0,5.9,16.6,5.6,0.93,10.6,328,Good
3539,33.4,44.1,13.2,16.1,16.5,11.6,1.28,6.0,643,Moderate
4115,29.9,68.7,0.5,7.0,11.9,7.5,0.87,13.9,547,Good
